,Claim Number,Date Received,Incident Date,Airport Code,Airport Name,Claim Type,Claim Site,Item Category,Close Amount,Disposition
1,2016022629173,2016-02-05 00:00:00,1/2/2016 16:00,ABE,"Lehigh Valley International Airport, Allentown",Passenger Property Loss,Checked Baggage,Currency,0,Deny
2,2016052731826,2016-05-18 00:00:00,5/5/2016 17:00,ABE,"Lehigh Valley International Airport, Allentown",Passenger Property Loss,Checked Baggage,Personal Electronics,0,Deny
3,2016061532244,2016-05-31 00:00:00,5/15/2016 0:00,ABE,"Lehigh Valley International Airport, Allentown",Property Damage,Checkpoint,Jewelry & Watches,0,Deny
4,2016081633086,2016-07-06 00:00:00,7/5/2016 17:00,ABE,"Lehigh Valley International Airport, Allentown",Property Damage,Checked Baggage,Baggage/Cases/Purses,-,-
5,2016100534408,2016-09-22 00:00:00,9/11/2016 0:00,ABE,"Lehigh Valley International Airport, Allentown",Property Damage,Checked Baggage,Other,-,-
7,2016081233041,2016-07-06 00:00:00,7/3/2016 19:50,ABQ,Albuquerque International Sunport Airport,Property Damage,Checkpoint,Baggage/Cases/Purses,-,-
8,2016050931144,2016-04-18 00:00:00,4/4/2016 8:00,ABQ,Albuquerque International Sunport Airport,Property Damage,Checked Baggage,Clothing,84.99,Approve in Full
9,2016082433280,2016-07-13 00:00:00,5/14/2016 8:45,ABQ,Albuquerque International Sunport Airport,Property Damage,Checkpoint,Personal Electronics,99,Approve in Full
10,2016072832876,2016-06-29 00:00:00,5/29/2016 0:00,ABQ,Albuquerque International Sunport Airport,Passenger Property Loss,Checked Baggage,Clothing,100,Approve in Full
11,2016091533574,2016-07-25 00:00:00,7/25/2016 0:00,ABQ,Albuquerque International Sunport Airport,Passenger Property Loss,Checked Baggage,Food & Drink,15,Approve in Full
12,2016102635196,2016-09-17 00:00:00,8/28/2016 22:05,ABQ,Albuquerque International Sunport Airport,Passenger Property Loss,Checked Baggage,Clothing,32,Approve in Full
13,2016101134600,2016-09-21 00:00:00,9/6/2016 0:00,ABQ,Albuquerque International Sunport Airport,Passenger Property Loss,Checked Baggage,Clothing,16,Approve in Full
14,2016022629158,2016-02-02 00:00:00,1/13/2016 19:00,ABQ,Albuquerque International Sunport Airport,Property Damage,Checked Baggage,Cosmetics & Grooming; Personal Accessories,0,Deny
15,2016031029552,2016-03-07 00:00:00,1/19/2016 0:00,ABQ,Albuquerque International Sunport Airport,Passenger Property Loss,Checkpoint,-,0,Deny
16,2016032930177,2016-03-15 00:00:00,3/5/2016 0:00,ABQ,Albuquerque International Sunport Airport,Passenger Property Loss,Checked Baggage,Cameras,0,Deny
17,2016032930201,2016-03-24 00:00:00,3/19/2016 5:30,ABQ,Albuquerque International Sunport Airport,Passenger Property Loss,Checkpoint,Personal Documents,0,Deny
18,2016081833138,2016-07-05 00:00:00,6/30/2016 0:00,ABQ,Albuquerque International Sunport Airport,Passenger Property Loss,Checkpoint,Personal Accessories,0,Deny
19,2016052331593,2016-05-10 00:00:00,3/8/2016 14:40,ABQ,Albuquerque International Sunport Airport,Passenger Property Loss,Checked Baggage,ing; Other; Personal Electronics; Tools & Home Imp,-,-
20,2016060732065,2016-05-27 00:00:00,5/27/2016 6:45,ABQ,Albuquerque International Sunport Airport,Property Damage,Checkpoint,Personal Accessories,-,-
21,2016092733941,2016-09-27 00:00:00,6/26/2016 5:50,ABQ,Albuquerque International Sunport Airport,Property Damage,Checked Baggage,Travel Accessories,-,-
22,2016092133735,2016-08-02 00:00:00,7/12/2016 0:00,ABQ,Albuquerque International Sunport Airport,Passenger Property Loss,Checked Baggage,Personal Accessories,-,-
23,2016120935964,2016-10-18 00:00:00,8/10/2016 0:00,ABQ,Albuquerque International Sunport Airport,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,-
24,2016102034943,2016-09-08 00:00:00,8/14/2016 0:00,ABQ,Albuquerque International Sunport Airport,Property Damage,Checked Baggage,Baggage/Cases/Purses; Clothing,-,-
25,2016110735598,2016-10-03 00:00:00,8/21/2016 0:00,ABQ,Albuquerque International Sunport Airport,Property Damage,Checked Baggage,Sporting Equipment & Supplies,-,-
26,2016100634430,2016-09-02 00:00:00,8/24/2016 18:00,ABQ,Albuquerque International Sunport Airport,Passenger Property Loss,Checked Baggage,Other,-,-
29,2016102535159,2016-09-12 00:00:00,8/27/2016 0:00,ABQ,Albuquerque International Sunport Airport,Passenger Property Loss,Checked Baggage,Cameras,-,-
30,2016102735255,2016-09-28 00:00:00,9/8/2016 8:25,ABQ,Albuquerque International Sunport Airport,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming; Medical/Science,-,-
31,2016120135884,2016-12-01 00:00:00,9/16/2016 0:00,ABQ,Albuquerque International Sunport Airport,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,-
32,2016110335477,2016-10-03 00:00:00,9/19/2016 14:21,ABQ,Albuquerque International Sunport Airport,Passenger Property Loss,Checked Baggage,Hunting & Fishing Items,-,-
33,2017012336776,2016-11-17 00:00:00,10/27/2016 10:45,ABQ,Albuquerque International Sunport Airport,Property Damage,Checkpoint,Baggage/Cases/Purses,-,-
34,2017012736983,2016-12-01 00:00:00,11/8/2016 10:52,ABQ,Albuquerque International Sunport Airport,Property Damage,Checkpoint,Toys & Games,-,-
35,2017011736576,2016-12-14 00:00:00,11/29/2016 0:00,ABQ,Albuquerque International Sunport Airport,Passenger Property Loss,Checked Baggage,Food & Drink,-,-
36,2017021537530,2017-01-04 00:00:00,12/5/2016 0:00,ABQ,Albuquerque International Sunport Airport,Passenger Property Loss,Checked Baggage,Currency,-,-
38,2016012028439,2016-01-08 00:00:00,1/6/2016 11:10,ABY,Southwest Georgia Regional Airport,Passenger Property Loss,Checked Baggage,Jewelry & Watches,-,-
39,2016092834023,2016-09-23 00:00:00,9/13/2016 0:00,ABY,Southwest Georgia Regional Airport,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming,52.47,Settle
40,2016080832975,2016-07-01 00:00:00,6/25/2016 0:00,ACK,Nantucket Memorial Airport,Property Damage,Checked Baggage,Jewelry & Watches,-,-
41,2016102435052,2016-09-26 00:00:00,9/22/2016 11:00,ACK,Nantucket Memorial Airport,Property Damage,Checked Baggage,Sporting Equipment & Supplies,-,-
42,2016031529761,2016-02-26 00:00:00,2/10/2016 14:30,ACT,Waco Regional Airport,Passenger Property Loss,Checked Baggage,Other,8.51,Approve in Full
43,2016072132826,2016-06-15 00:00:00,6/1/2016 0:00,ACT,Waco Regional Airport,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses,0,Deny
44,2016082933379,2016-07-20 00:00:00,6/30/2016 0:00,ACV,Arcata-Eureka,Passenger Property Loss,Checkpoint,Other,0,Deny
45,2016092233765,2016-07-25 00:00:00,7/9/2016 9:30,ACV,Arcata-Eureka,Property Damage,Checked Baggage,Home Decor,-,-
46,2016061432215,2016-06-14 00:00:00,3/17/2016 19:30,ACY,Atlantic City International,Missed Flight,Checkpoint,Other; Other; Other; Other; Other; Other,-,-
47,2017011136455,2016-11-10 00:00:00,8/9/2016 0:00,ACY,Atlantic City International,Property Damage,Checkpoint,Clothing; Toys & Games,-,-
48,2016032330005,2016-03-09 00:00:00,1/28/2016 12:25,ACY,Atlantic City International,Property Damage,Checked Baggage,Tools & Home Improvement Supplies,256.68,Settle
49,2016081833133,2016-07-11 00:00:00,3/3/2016 0:00,ACY,Atlantic City International,Property Damage,Checkpoint,Personal Electronics,129,Settle
50,2016071832768,2016-06-22 00:00:00,6/4/2016 6:00,ACY,Atlantic City International,Property Damage,Checkpoint,Personal Electronics,275.15,Settle
51,2016100534410,2016-09-20 00:00:00,9/16/2016 0:00,ACY,Atlantic City International,Passenger Property Loss,Checkpoint,Medical/Science,42.92,Settle
53,2016022529125,2016-02-03 00:00:00,2/2/2016 10:30,AEX,Alexandria International Airport,Property Damage,Checkpoint,Personal Accessories,0,Deny
54,2016041530572,2016-03-23 00:00:00,3/3/2016 0:00,AGS,Bush Field,Passenger Property Loss,Checked Baggage,Clothing,0,Deny
55,2016091433541,2016-07-21 00:00:00,6/3/2016 0:00,AGS,Bush Field,Passenger Property Loss,Checkpoint,Personal Accessories,0,Deny
56,2016101934909,2016-09-12 00:00:00,8/20/2016 0:00,ALB,Albany International,Passenger Property Loss,Checked Baggage,Personal Documents,-,-
57,2016083133408,2016-07-14 00:00:00,6/27/2016 13:00,ALB,Albany International,Property Damage,Checked Baggage,Baggage/Cases/Purses; Other; Travel Accessories,81.09,Approve in Full
58,2016051231273,2016-04-25 00:00:00,4/3/2016 0:00,ALB,Albany International,Passenger Property Loss,Checked Baggage,Other,-,-
59,2016031629813,2016-03-02 00:00:00,2/12/2016 0:00,ALB,Albany International,Passenger Property Loss,Checked Baggage,Jewelry & Watches,0,Deny
60,2016033130232,2016-03-16 00:00:00,2/15/2016 0:00,ALB,Albany International,Passenger Property Loss,Checked Baggage,Computer & Accessories,0,Deny
61,2016041130477,2016-03-22 00:00:00,3/15/2016 0:00,ALB,Albany International,Passenger Property Loss,Checked Baggage,-,0,Deny
63,2016050931176,2016-04-19 00:00:00,4/8/2016 0:00,ALB,Albany International,Passenger Property Loss,Checked Baggage,Other,0,Deny
64,2016071532730,2016-06-15 00:00:00,5/23/2016 17:30,ALB,Albany International,Passenger Property Loss,Checked Baggage,Sporting Equipment & Supplies,0,Deny
65,2016072532854,2016-06-27 00:00:00,6/9/2016 0:00,ALB,Albany International,Passenger Property Loss,Checked Baggage,Clothing,0,Deny
66,2016082633344,2016-07-15 00:00:00,6/25/2016 17:30,ALB,Albany International,Property Damage,Checked Baggage,Baggage/Cases/Purses,0,Deny
67,2016100434343,2016-08-11 00:00:00,6/29/2016 15:19,ALB,Albany International,Passenger Property Loss,Checked Baggage,Currency,0,Deny
68,2016092333792,2016-09-21 00:00:00,9/7/2016 0:00,ALB,Albany International,Passenger Property Loss,Checked Baggage,Jewelry & Watches,0,Deny
69,2016101934903,2016-08-19 00:00:00,7/10/2016 0:00,ALB,Albany International,Passenger Property Loss,Checked Baggage,Baggage/Cases/Purses,-,-
70,2016112335857,2016-10-25 00:00:00,8/15/2016 0:00,ALB,Albany International,Property Damage,Checkpoint,Baggage/Cases/Purses,-,-
71,2016100634454,2016-09-02 00:00:00,8/21/2016 17:15,ALB,Albany International,Passenger Property Loss,Checked Baggage,Medical/Science,-,-
72,2017012636877,2016-11-23 00:00:00,10/11/2016 0:00,ALB,Albany International,Passenger Property Loss,Checked Baggage,Jewelry & Watches,-,-
73,2017011736608,2016-11-18 00:00:00,11/17/2016 0:00,ALB,Albany International,Property Damage,Checkpoint,Personal Accessories,-,-
74,2016030829436,2016-02-17 00:00:00,2/8/2016 8:00,ALB,Albany International,Property Damage,Checkpoint,Office Equipment & Supplies,210,Settle
75,2016071932778,2016-06-22 00:00:00,4/13/2016 0:00,ALW,Walla Walla Regional Airport,Passenger Property Loss,Checked Baggage,Jewelry & Watches; Personal Electronics,0,Deny
76,2016062832448,2016-06-10 00:00:00,6/6/2016 18:00,ALW,Walla Walla Regional Airport,Passenger Property Loss,Checked Baggage,Food & Drink,0,Deny
77,2016100734564,2016-09-06 00:00:00,9/1/2016 10:47,ALW,Walla Walla Regional Airport,Property Damage,Checked Baggage,Baggage/Cases/Purses,0,Deny
79,2016071532745,2016-07-15 00:00:00,7/2/2016 10:00,AMA,Rick Husband Amarillo International Airport,Property Damage,Checked Baggage,Baggage/Cases/Purses,300,Approve in Full
80,2016102835365,2016-10-03 00:00:00,10/2/2016 10:30,AMA,Rick Husband Amarillo International Airport,Property Damage,Checked Baggage,Other,-,-
82,2016102034938,2016-09-08 00:00:00,7/15/2016 0:00,ANC,Ted Stevens Anchorage International Airport,Property Damage,Checkpoint,Jewelry & Watches,20,Approve in Full
83,2016090133413,2016-07-19 00:00:00,7/12/2016 9:30,ANC,Ted Stevens Anchorage International Airport,Passenger Property Loss,Checkpoint,Other,-,-
84,2016100834569,2016-10-11 00:00:00,8/1/2016 0:00,ANC,Ted Stevens Anchorage International Airport,Passenger Property Loss,Checked Baggage,Jewelry & Watches,-,-
85,2016040430287,2016-03-14 00:00:00,2/10/2016 0:00,ANC,Ted Stevens Anchorage International Airport,Passenger Property Loss,Checkpoint,Computer & Accessories,0,Deny
86,2016032930174,2016-03-14 00:00:00,3/1/2016 0:00,ANC,Ted Stevens Anchorage International Airport,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming,0,Deny
87,2016042630842,2016-04-08 00:00:00,3/17/2016 16:25,ANC,Ted Stevens Anchorage International Airport,Passenger Property Loss,Checked Baggage,Personal Electronics,0,Deny
88,2016092133717,2016-07-28 00:00:00,7/23/2016 15:55,ANC,Ted Stevens Anchorage International Airport,Passenger Property Loss,Checked Baggage,Toys & Games,0,Deny
89,2016042830916,2016-04-12 00:00:00,3/19/2016 0:30,ANC,Ted Stevens Anchorage International Airport,Passenger Property Loss,Checked Baggage,Travel Accessories,-,-
90,2016052731820,2016-05-16 00:00:00,4/30/2016 0:00,ANC,Ted Stevens Anchorage International Airport,Passenger Property Loss,Checked Baggage,Tools & Home Improvement Supplies,-,-
91,2016093034194,2016-08-18 00:00:00,5/13/2016 0:00,ANC,Ted Stevens Anchorage International Airport,Passenger Property Loss,Checked Baggage,Personal Accessories,-,-
92,2016080932993,2016-06-30 00:00:00,6/8/2016 22:30,ANC,Ted Stevens Anchorage International Airport,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,-
93,2017020137168,2017-02-01 00:00:00,6/20/2016 0:00,ANC,Ted Stevens Anchorage International Airport,Passenger Property Loss,Checkpoint,Personal Electronics,-,-
94,2016082333212,2016-07-08 00:00:00,6/27/2016 22:30,ANC,Ted Stevens Anchorage International Airport,Passenger Property Loss,Checkpoint,Cameras; Clothing,-,-
97,2016092033628,2016-07-25 00:00:00,7/15/2016 19:00,ANC,Ted Stevens Anchorage International Airport,Passenger Property Loss,Checkpoint,Jewelry & Watches,-,-
98,2016092934103,2016-08-11 00:00:00,7/25/2016 23:28,ANC,Ted Stevens Anchorage International Airport,Property Damage,Checked Baggage,Audio/Video,-,-
99,2016092834014,2016-08-15 00:00:00,8/3/2016 12:30,ANC,Ted Stevens Anchorage International Airport,Passenger Property Loss,Checked Baggage,Cameras,-,-
100,2016102034954,2016-09-25 00:00:00,8/6/2016 22:30,ANC,Ted Stevens Anchorage International Airport,Property Damage,Checked Baggage,Toys & Games,-,-
101,2016101134596,2016-08-31 00:00:00,8/12/2016 12:45,ANC,Ted Stevens Anchorage International Airport,Passenger Property Loss,Checked Baggage,Clothing,-,-
102,2016101834818,2016-10-18 00:00:00,8/19/2016 17:00,ANC,Ted Stevens Anchorage International Airport,Property Damage,Checked Baggage,Home Decor,-,-
103,2016101834805,2016-09-06 00:00:00,8/28/2016 0:00,ANC,Ted Stevens Anchorage International Airport,Passenger Property Loss,Checked Baggage,Other,-,-
104,2016110335481,2016-10-07 00:00:00,8/30/2016 0:00,ANC,Ted Stevens Anchorage International Airport,Property Damage,Checked Baggage,Computer & Accessories,-,-
105,2016102134996,2016-09-26 00:00:00,9/25/2016 23:45,ANC,Ted Stevens Anchorage International Airport,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming,-,-
106,2016101834817,2016-10-13 00:00:00,9/26/2016 0:00,ANC,Ted Stevens Anchorage International Airport,Passenger Property Loss,Checked Baggage,Cameras; Cameras,-,-
107,2017011736612,2016-11-25 00:00:00,11/1/2016 0:00,ANC,Ted Stevens Anchorage International Airport,Passenger Property Loss,Checked Baggage,Other,-,-
108,2016032129926,2016-03-07 00:00:00,2/25/2016 13:00,ANC,Ted Stevens Anchorage International Airport,Property Damage,Checked Baggage,Computer & Accessories,102.71,Settle
109,2017010436286,2016-10-31 00:00:00,10/23/2016 7:00,ART,Watertown International Airport,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming,-,-
111,2016101334629,2016-10-13 00:00:00,2/15/2016 9:40,ASE,Aspen Pitkin County Sardy Field,Property Damage,Checkpoint,Computer & Accessories,430,Approve in Full
112,2016032229980,2016-03-07 00:00:00,2/21/2016 0:00,ASE,Aspen Pitkin County Sardy Field,Passenger Property Loss,Checked Baggage,"Books, Magazines & Other",67.12,Approve in Full
113,2016101234617,2016-10-13 00:00:00,8/24/2016 15:55,ASE,Aspen Pitkin County Sardy Field,Property Damage,Checked Baggage,Baggage/Cases/Purses,40.05,Approve in Full
114,2016022529128,2016-02-03 00:00:00,1/31/2016 0:00,ASE,Aspen Pitkin County Sardy Field,Passenger Property Loss,Checked Baggage,Computer & Accessories,0,Deny
115,2016071332655,2016-06-22 00:00:00,5/16/2016 7:00,ASE,Aspen Pitkin County Sardy Field,Property Damage,Checked Baggage,Baggage/Cases/Purses,0,Deny
117,2016030229279,2016-02-08 00:00:00,1/14/2016 16:30,ATL,Hartsfield-Jackson Atlanta International Airport,Passenger Property Loss,Checkpoint,"Books, Magazines & Other",-,-
118,2016021728920,2016-01-26 00:00:00,1/22/2016 15:00,ATL,Hartsfield-Jackson Atlanta International Airport,Passenger Property Loss,Checkpoint,Computer & Accessories,-,-
119,2016030329319,2016-02-09 00:00:00,1/24/2016 12:30,ATL,Hartsfield-Jackson Atlanta International Airport,Property Damage,Checked Baggage,Food & Drink; Sporting Equipment & Supplies,-,-
120,2016030329322,2016-02-09 00:00:00,1/24/2016 12:30,ATL,Hartsfield-Jackson Atlanta International Airport,Property Damage,Checked Baggage,Food & Drink; Home Decor; Home Decor,-,-
121,2016031829877,2016-03-05 00:00:00,2/22/2016 0:00,ATL,Hartsfield-Jackson Atlanta International Airport,Passenger Property Loss,Checkpoint,Food & Drink,-,-
122,2016041830596,2016-03-30 00:00:00,3/18/2016 0:00,ATL,Hartsfield-Jackson Atlanta International Airport,Property Damage,Checked Baggage,Household Items,-,-
123,2016040730438,2016-03-23 00:00:00,3/20/2016 13:30,ATL,Hartsfield-Jackson Atlanta International Airport,Passenger Property Loss,Checked Baggage,Travel Accessories,-,-
126,2016041430534,2016-03-28 00:00:00,3/23/2016 17:30,ATL,Hartsfield-Jackson Atlanta International Airport,Passenger Property Loss,Checked Baggage,Currency,-,-
127,2016050431068,2016-04-13 00:00:00,3/25/2016 0:00,ATL,Hartsfield-Jackson Atlanta International Airport,Property Damage,Checked Baggage,Clothing,-,-
128,2016050531085,2016-05-05 00:00:00,4/1/2016 14:30,ATL,Hartsfield-Jackson Atlanta International Airport,Passenger Property Loss,Checkpoint,Currency,-,-
129,2016050231009,2016-04-15 00:00:00,4/13/2016 8:00,ATL,Hartsfield-Jackson Atlanta International Airport,Passenger Property Loss,Checked Baggage,Other; Other; Other,-,-
130,2016051631363,2016-04-25 00:00:00,4/16/2016 0:00,ATL,Hartsfield-Jackson Atlanta International Airport,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,-
131,2016061432203,2016-05-31 00:00:00,5/14/2016 9:05,ATL,Hartsfield-Jackson Atlanta International Airport,Passenger Property Loss,Checked Baggage,Travel Accessories,-,-
132,2016060131920,2016-05-18 00:00:00,5/14/2016 15:30,ATL,Hartsfield-Jackson Atlanta International Airport,Passenger Property Loss,Checked Baggage,-,-,-
133,2016052431697,2016-05-24 00:00:00,5/24/2016 0:00,ATL,Hartsfield-Jackson Atlanta International Airport,Property Damage,Checked Baggage,Computer & Accessories,-,-
134,2016072832874,2016-06-28 00:00:00,5/27/2016 0:00,ATL,Hartsfield-Jackson Atlanta International Airport,Property Damage,Checked Baggage,Computer & Accessories,-,-
135,2016071232576,2016-06-17 00:00:00,6/1/2016 0:00,ATL,Hartsfield-Jackson Atlanta International Airport,Property Damage,Checked Baggage,etics & Grooming; Cosmetics & Grooming; Cosmet,-,-
136,2016092133680,2016-09-21 00:00:00,6/3/2016 0:00,ATL,Hartsfield-Jackson Atlanta International Airport,Property Damage,Checkpoint,Computer & Accessories,-,-
137,2016090933505,2016-07-18 00:00:00,6/3/2016 21:00,ATL,Hartsfield-Jackson Atlanta International Airport,Passenger Property Loss,Checkpoint,Jewelry & Watches,-,-
138,2016062132329,2016-06-08 00:00:00,6/7/2016 7:00,ATL,Hartsfield-Jackson Atlanta International Airport,Passenger Property Loss,Checkpoint,Currency,-,-
139,2016080932982,2016-06-27 00:00:00,6/11/2016 5:30,ATL,Hartsfield-Jackson Atlanta International Airport,Property Damage,Checked Baggage,Computer & Accessories,-,-
140,2016092033653,2016-08-12 00:00:00,6/12/2016 0:00,ATL,Hartsfield-Jackson Atlanta International Airport,Property Damage,Checkpoint,Computer & Accessories,-,-
141,2016080432940,2016-06-27 00:00:00,6/21/2016 16:15,ATL,Hartsfield-Jackson Atlanta International Airport,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,-
142,2016080132905,2016-06-28 00:00:00,6/23/2016 0:00,ATL,Hartsfield-Jackson Atlanta International Airport,Property Damage,Checkpoint,Personal Electronics,-,-
143,2016072032806,2016-06-29 00:00:00,6/25/2016 8:26,ATL,Hartsfield-Jackson Atlanta International Airport,Property Damage,Checkpoint,Personal Electronics,-,-
144,2016091933626,2016-07-25 00:00:00,7/11/2016 0:00,ATL,Hartsfield-Jackson Atlanta International Airport,Passenger Property Loss,Checked Baggage,"Books, Magazines & Other",-,-
145,2016092133681,2016-07-28 00:00:00,7/26/2016 14:00,ATL,Hartsfield-Jackson Atlanta International Airport,Passenger Property Loss,Checkpoint,Computer & Accessories,-,-
146,2016092834038,2016-08-09 00:00:00,8/4/2016 11:00,ATL,Hartsfield-Jackson Atlanta International Airport,Passenger Property Loss,Checkpoint,Computer & Accessories; Personal Electronics,-,-
147,2016092834005,2016-08-15 00:00:00,8/14/2016 0:00,ATL,Hartsfield-Jackson Atlanta International Airport,Passenger Property Loss,Checked Baggage,elry & Watches; Jewelry & Watches; Jewelry & W,-,-
148,2016101834806,2016-08-30 00:00:00,8/16/2016 0:00,ATL,Hartsfield-Jackson Atlanta International Airport,Passenger Property Loss,-,Travel Accessories,-,-
149,2016100634447,2016-08-26 00:00:00,8/23/2016 16:55,ATL,Hartsfield-Jackson Atlanta International Airport,Passenger Property Loss,-,Jewelry & Watches,-,-
150,2016101134578,2016-09-06 00:00:00,8/27/2016 15:00,ATL,Hartsfield-Jackson Atlanta International Airport,Property Damage,Checked Baggage,Clothing,-,-
151,2016102535147,2016-09-17 00:00:00,9/3/2016 0:00,ATL,Hartsfield-Jackson Atlanta International Airport,Passenger Property Loss,Checked Baggage,-,-,-
154,2016101834819,2016-09-08 00:00:00,9/3/2016 9:20,ATL,Hartsfield-Jackson Atlanta International Airport,Passenger Property Loss,Checked Baggage,ches; Jewelry & Watches; Jewelry & Watches; Jew,-,-
155,2017013037050,2016-12-19 00:00:00,9/6/2016 0:00,ATL,Hartsfield-Jackson Atlanta International Airport,Passenger Property Loss,Checkpoint,Cameras,-,-
156,2016110735572,2016-10-11 00:00:00,9/30/2016 7:45,ATL,Hartsfield-Jackson Atlanta International Airport,Passenger Property Loss,Checkpoint,Computer & Accessories,-,-
157,2016110935693,2016-10-17 00:00:00,10/7/2016 18:30,ATL,Hartsfield-Jackson Atlanta International Airport,Passenger Property Loss,Checkpoint,Jewelry & Watches,-,-
158,2017012736955,2017-01-27 00:00:00,11/7/2016 5:00,ATL,Hartsfield-Jackson Atlanta International Airport,Passenger Property Loss,Checked Baggage,Clothing,-,-
159,2017010336196,2016-11-14 00:00:00,11/10/2016 0:00,ATL,Hartsfield-Jackson Atlanta International Airport,-,Checkpoint,Baggage/Cases/Purses,-,-
160,2017021437512,2017-01-02 00:00:00,11/26/2016 0:00,ATL,Hartsfield-Jackson Atlanta International Airport,Passenger Property Loss,Checked Baggage,Household Items,-,-
161,2017020937403,2017-01-03 00:00:00,12/18/2016 0:00,ATL,Hartsfield-Jackson Atlanta International Airport,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,-
162,2017020837363,2017-01-03 00:00:00,12/27/2016 0:00,ATL,Hartsfield-Jackson Atlanta International Airport,-,Checkpoint,Clothing,-,-
163,2017020637326,2016-12-29 00:00:00,12/28/2016 0:00,ATL,Hartsfield-Jackson Atlanta International Airport,Property Damage,Checkpoint,Computer & Accessories,-,-
164,2016011428337,2016-01-04 00:00:00,1/2/2016 18:45,ATL,Hartsfield-Jackson Atlanta International Airport,Property Damage,Checkpoint,Computer & Accessories,1088.91,Approve in Full
165,2016031129629,2016-02-24 00:00:00,1/4/2016 13:00,ATL,Hartsfield-Jackson Atlanta International Airport,Property Damage,Checkpoint,Clothing,100,Approve in Full
166,2016041430532,2016-03-28 00:00:00,1/7/2016 18:23,ATL,Hartsfield-Jackson Atlanta International Airport,Passenger Property Loss,Checkpoint,Computer & Accessories,769.1,Approve in Full
167,2016030829442,2016-02-17 00:00:00,1/24/2016 7:00,ATL,Hartsfield-Jackson Atlanta International Airport,Property Damage,Checkpoint,Baggage/Cases/Purses,51.57,Approve in Full
168,2016022929188,2016-02-03 00:00:00,1/30/2016 11:30,ATL,Hartsfield-Jackson Atlanta International Airport,Property Damage,Checked Baggage,Clothing,356,Approve in Full
169,2016031129628,2016-02-23 00:00:00,2/12/2016 10:30,ATL,Hartsfield-Jackson Atlanta International Airport,Property Damage,Checkpoint,Jewelry & Watches,100,Approve in Full
170,2016031429696,2016-02-25 00:00:00,2/19/2016 0:00,ATL,Hartsfield-Jackson Atlanta International Airport,Property Damage,Checked Baggage,Baggage/Cases/Purses,150,Approve in Full
171,2016041330529,2016-04-13 00:00:00,2/19/2016 15:00,ATL,Hartsfield-Jackson Atlanta International Airport,Property Loss,Checked Baggage,Travel Accessories,5.54,Approve in Full
172,2016033130236,2016-03-16 00:00:00,2/19/2016 16:44,ATL,Hartsfield-Jackson Atlanta International Airport,Property Damage,Checkpoint,Computer & Accessories,807.85,Approve in Full
173,2016042130722,2016-03-29 00:00:00,2/29/2016 0:00,ATL,Hartsfield-Jackson Atlanta International Airport,Property Damage,Checked Baggage,Baggage/Cases/Purses,238.99,Approve in Full
174,2016031729858,2016-03-04 00:00:00,3/1/2016 14:00,ATL,Hartsfield-Jackson Atlanta International Airport,Passenger Property Loss,Checkpoint,Cosmetics & Grooming,58,Approve in Full
175,2016032129925,2016-03-08 00:00:00,3/7/2016 0:00,ATL,Hartsfield-Jackson Atlanta International Airport,Passenger Property Loss,Checkpoint,Baggage/Cases/Purses,42.39,Approve in Full
176,2016042530794,2016-04-05 00:00:00,3/8/2016 0:00,ATL,Hartsfield-Jackson Atlanta International Airport,Passenger Property Loss,Checked Baggage,Travel Accessories,11,Approve in Full
177,2016042730865,2016-04-11 00:00:00,3/14/2016 0:00,ATL,Hartsfield-Jackson Atlanta International Airport,Passenger Property Loss,Checked Baggage,Travel Accessories,9.71,Approve in Full
178,2016040830441,2016-03-23 00:00:00,3/18/2016 16:15,ATL,Hartsfield-Jackson Atlanta International Airport,Passenger Property Loss,Checked Baggage,Clothing,78,Approve in Full
179,2016042530797,2016-04-25 00:00:00,3/30/2016 0:00,ATL,Hartsfield-Jackson Atlanta International Airport,Passenger Property Loss,Checkpoint,Sporting Equipment & Supplies,286.75,Approve in Full
182,2016051631336,2016-04-25 00:00:00,4/9/2016 0:00,ATL,Hartsfield-Jackson Atlanta International Airport,Passenger Property Loss,Checked Baggage,Food & Drink,27.7,Approve in Full
183,2016060331990,2016-05-19 00:00:00,4/14/2016 0:00,ATL,Hartsfield-Jackson Atlanta International Airport,Property Damage,Checked Baggage,Sporting Equipment & Supplies,152.69,Approve in Full
184,2016051731380,2016-04-27 00:00:00,4/14/2016 10:30,ATL,Hartsfield-Jackson Atlanta International Airport,Property Damage,Checked Baggage,Baggage/Cases/Purses,130,Approve in Full
185,2016051931475,2016-05-04 00:00:00,4/15/2016 8:45,ATL,Hartsfield-Jackson Atlanta International Airport,Property Damage,Checked Baggage,Home Decor,35.95,Approve in Full
